               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.029004,           0.0099759,           0.0041359,             0.96622,             0.83766,             0.91611,             0.72909,            0.026628,           0.0048852,           0.0057854,            0.007855,            0.007855,            0.007855
                 132,            0.028952,            0.010351,           0.0044102,             0.94559,             0.83766,              0.9284,             0.76134,            0.025774,           0.0049458,           0.0045965,           0.0078385,           0.0078385,           0.0078385
                 133,            0.025842,            0.010224,           0.0036415,              0.9361,              0.8603,             0.94918,             0.68374,            0.028086,           0.0048609,           0.0024686,            0.007822,            0.007822,            0.007822
                 134,             0.02715,           0.0095849,           0.0039882,             0.96638,             0.97372,             0.99267,             0.74675,            0.025102,           0.0048881,           0.0020108,           0.0078055,           0.0078055,           0.0078055
                 135,            0.025211,            0.010348,           0.0031646,             0.97826,             0.83766,             0.95832,             0.73113,            0.025797,           0.0046942,           0.0017717,            0.007789,            0.007789,            0.007789
                 136,            0.029059,            0.010019,           0.0044333,              0.9848,             0.83766,             0.94714,             0.72202,            0.025093,           0.0046594,           0.0021557,           0.0077725,           0.0077725,           0.0077725
                 137,            0.027192,           0.0099985,           0.0041696,             0.96914,             0.83766,             0.97154,             0.72658,            0.024393,           0.0045242,           0.0018484,            0.007756,            0.007756,            0.007756
                 138,            0.027257,           0.0099229,           0.0047098,             0.93797,             0.87714,             0.96829,             0.75083,            0.023697,           0.0046403,           0.0021362,           0.0077395,           0.0077395,           0.0077395
                 139,            0.027635,             0.01012,           0.0042385,             0.96224,             0.86726,             0.95414,             0.69937,            0.024564,             0.00477,           0.0029952,            0.007723,            0.007723,            0.007723
                 140,            0.027745,           0.0094358,           0.0040246,             0.97707,             0.86837,              0.9495,             0.68147,            0.026492,           0.0047555,           0.0027424,           0.0077065,           0.0077065,           0.0077065
                 141,            0.027333,           0.0093505,           0.0034918,             0.97423,             0.86726,             0.96112,              0.6596,            0.025169,           0.0047479,           0.0039652,             0.00769,             0.00769,             0.00769
                 142,            0.025764,           0.0097241,           0.0037556,             0.99179,             0.84874,             0.97067,             0.66588,            0.025846,           0.0047414,           0.0036887,           0.0076735,           0.0076735,           0.0076735
                 143,            0.025453,           0.0096165,           0.0034637,             0.96286,             0.91621,             0.97848,             0.71716,            0.025412,           0.0045886,           0.0023928,            0.007657,            0.007657,            0.007657
                 144,            0.024906,           0.0091575,           0.0039854,                   1,             0.94536,               0.983,             0.73818,            0.023734,           0.0044935,            0.002821,           0.0076405,           0.0076405,           0.0076405
                 145,            0.027439,            0.010445,           0.0035056,             0.99862,             0.91533,             0.97918,             0.75487,            0.022592,           0.0045354,           0.0037466,            0.007624,            0.007624,            0.007624
                 146,            0.026622,           0.0092487,           0.0042098,             0.99442,               0.914,             0.98507,             0.62963,            0.027995,           0.0047355,           0.0027389,           0.0076075,           0.0076075,           0.0076075
                 147,            0.027634,            0.010234,           0.0036443,             0.99592,             0.91039,             0.94698,             0.63111,            0.028362,            0.004802,           0.0040297,            0.007591,            0.007591,            0.007591
                 148,            0.027659,            0.010096,           0.0043806,             0.95003,             0.91749,             0.94492,             0.66063,            0.025325,            0.004771,           0.0057521,           0.0075745,           0.0075745,           0.0075745
                 149,            0.026012,           0.0091527,           0.0040497,             0.97732,             0.86619,             0.95923,             0.68063,            0.025268,           0.0047095,           0.0042817,            0.007558,            0.007558,            0.007558
                 150,            0.027703,           0.0091819,           0.0044165,             0.98166,             0.94469,              0.9796,             0.72013,            0.024796,           0.0047028,           0.0046288,           0.0075415,           0.0075415,           0.0075415
                 151,            0.025728,           0.0092941,           0.0042383,             0.99933,             0.91449,             0.97166,             0.71877,            0.024591,           0.0045393,           0.0053084,            0.007525,            0.007525,            0.007525
                 152,            0.024399,           0.0094546,           0.0043263,             0.98371,             0.86916,             0.96306,             0.71488,            0.023722,           0.0044537,           0.0046015,           0.0075085,           0.0075085,           0.0075085
                 153,            0.024637,           0.0085519,           0.0025699,             0.97596,             0.91424,             0.98067,             0.75736,             0.02478,           0.0044842,           0.0033408,            0.007492,            0.007492,            0.007492
                 154,            0.027318,           0.0087456,           0.0033232,             0.98121,             0.87338,              0.9711,             0.71367,            0.025755,           0.0044389,           0.0043678,           0.0074755,           0.0074755,           0.0074755
                 155,            0.026849,            0.010053,           0.0029091,             0.97554,             0.91453,             0.98347,             0.73578,            0.025555,           0.0043485,           0.0031177,            0.007459,            0.007459,            0.007459
